"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"13-Apr-2020","    12698.85","    12795.70","    12527.15","    12603.10","       28465964","         1688.14"
"15-Apr-2020","    12792.45","    12951.40","    12661.00","    12702.60","       47886382","         2817.98"
"16-Apr-2020","    12430.30","    12605.40","    12205.90","    12463.60","       69388542","         3712.54"
"17-Apr-2020","    12878.35","    12992.05","    12596.65","    12649.25","       46523852","         3518.83"
"20-Apr-2020","    12812.60","    12937.95","    12742.55","    12847.65","       39177267","         2343.63"
"21-Apr-2020","    12513.65","    12632.50","    12375.80","    12408.85","       37281970","         2357.59"
"22-Apr-2020","    12393.90","    12619.45","    12322.95","    12571.30","       27595949","         1783.46"
"23-Apr-2020","    12639.80","    13199.75","    12596.60","    13128.20","       39760721","         2895.44"
"24-Apr-2020","    13001.90","    13101.40","    12792.90","    12816.20","       32522500","         2047.15"
"27-Apr-2020","    12957.35","    13248.95","    12928.05","    13121.15","       40245218","         2653.73"
"28-Apr-2020","    13301.95","    13317.20","    13067.75","    13133.65","       38809479","         2312.16"
"29-Apr-2020","    13250.60","    13470.80","    13144.80","    13424.95","       37634296","         2533.71"
"30-Apr-2020","    13841.60","    14212.10","    13750.25","    14108.35","       61232875","         4084.45"
"04-May-2020","    13646.10","    13700.25","    13424.35","    13454.25","       48661828","         2947.71"
"05-May-2020","    13637.80","    13667.85","    13351.45","    13388.00","       35386135","         2105.70"
"06-May-2020","    13437.30","    13580.05","    13262.25","    13394.70","       39758016","         2869.83"
"07-May-2020","    13408.00","    13489.55","    13268.40","    13292.70","       48556960","         2891.06"
"08-May-2020","    13509.45","    13530.85","    13324.00","    13403.60","       37686915","         2405.48"
"11-May-2020","    13521.60","    13763.80","    13489.25","    13593.55","       29773180","         1883.68"
"12-May-2020","    13537.15","    13733.50","    13480.75","    13687.75","       32012528","         2151.36"
"13-May-2020","    13960.35","    13960.35","    13612.80","    13776.95","       26694109","         1775.07"
"14-May-2020","    13396.05","    13483.70","    13246.80","    13293.70","       40148565","         2475.50"
"15-May-2020","    13375.45","    13375.80","    13108.40","    13196.35","       30451382","         2051.45"
"18-May-2020","    13278.25","    13408.80","    13109.95","    13314.40","       35386297","         2325.91"
"19-May-2020","    13272.35","    13524.20","    13197.60","    13446.60","       28258885","         1897.70"
"20-May-2020","    13443.50","    13556.90","    13362.55","    13517.35","       27891431","         1668.63"
"21-May-2020","    13495.40","    13732.00","    13468.50","    13647.90","       28463847","         1898.44"
"22-May-2020","    13622.25","    13902.80","    13571.65","    13842.65","       37846561","         2792.18"
"26-May-2020","    13860.85","    13930.85","    13522.95","    13574.95","       28744390","         2141.03"
"27-May-2020","    13667.15","    14017.05","    13488.10","    13952.90","       40527119","         2253.80"
"28-May-2020","    13964.90","    14068.30","    13759.15","    14028.60","       41069796","         2396.82"
"29-May-2020","    13893.40","    14080.55","    13762.95","    14010.50","       86621593","         5130.49"
"01-Jun-2020","    14155.65","    14431.35","    14140.85","    14307.10","       45071018","         2786.39"
"02-Jun-2020","    14358.00","    14492.30","    14269.70","    14422.40","       34083952","         2261.96"
"03-Jun-2020","    14507.25","    14549.00","    14317.20","    14361.70","       40000346","         2731.28"
"04-Jun-2020","    14380.85","    14695.10","    14380.85","    14627.45","       44632910","         3082.88"
"05-Jun-2020","    14715.90","    14732.85","    14599.75","    14627.45","       38692339","         2609.33"
"08-Jun-2020","    14824.75","    14990.25","    14713.45","    14894.60","       48671642","         2816.95"
"09-Jun-2020","    14869.40","    14983.20","    14712.30","    14737.80","       39022707","         2561.39"
"10-Jun-2020","    14774.80","    14882.60","    14690.90","    14842.05","       39353796","         2968.19"
"11-Jun-2020","    14823.95","    14840.65","    14585.45","    14619.45","       34682725","         2353.17"
"12-Jun-2020","    14125.80","    14442.65","    14123.55","    14402.75","       35505375","         2289.58"
"15-Jun-2020","    14444.25","    14571.95","    14238.05","    14396.70","       35512340","         1997.35"
"16-Jun-2020","    14634.00","    14667.40","    14375.50","    14450.80","       32450686","         2043.06"
"17-Jun-2020","    14418.80","    14559.55","    14382.95","    14478.45","       36461423","         2103.24"
