"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"12-Feb-2020","     1836.65","     1845.15","     1817.35","     1824.20","       22955421","          452.15"
"13-Feb-2020","     1830.95","     1841.05","     1817.75","     1834.85","       38464237","          723.36"
"14-Feb-2020","     1843.75","     1850.15","     1824.65","     1832.50","       23680125","          494.51"
"17-Feb-2020","     1836.45","     1840.80","     1797.80","     1812.25","       26543351","          624.45"
"18-Feb-2020","     1840.20","     1851.15","     1820.55","     1845.90","       61684696","          576.47"
"19-Feb-2020","     1857.50","     1887.85","     1854.05","     1882.00","       36480188","          580.12"
"20-Feb-2020","     1882.95","     1906.10","     1866.75","     1871.70","       36371863","          514.04"
"24-Feb-2020","     1862.55","     1863.10","     1825.35","     1829.60","       19432009","          359.79"
"25-Feb-2020","     1836.80","     1859.00","     1811.55","     1817.25","       20416442","          326.86"
"26-Feb-2020","     1805.10","     1818.20","     1791.35","     1803.90","       25531873","          429.92"
"27-Feb-2020","     1807.85","     1810.40","     1750.75","     1760.55","       19913952","          458.72"
"28-Feb-2020","     1714.50","     1721.50","     1662.30","     1670.70","       35034745","          590.69"
"02-Mar-2020","     1700.25","     1725.15","     1580.30","     1594.70","       24160752","          563.44"
"03-Mar-2020","     1611.05","     1661.60","     1604.65","     1647.65","       33980314","         1067.52"
"04-Mar-2020","     1649.40","     1652.20","     1577.35","     1617.65","       33954288","          898.02"
"05-Mar-2020","     1628.45","     1640.05","     1578.75","     1606.30","       41492508","          791.59"
"06-Mar-2020","     1538.25","     1547.70","     1518.20","     1527.15","       26892470","          505.27"
"09-Mar-2020","     1490.10","     1493.70","     1402.80","     1425.60","       37006150","          726.00"
"11-Mar-2020","     1415.25","     1463.05","     1405.70","     1454.30","       46231804","          938.67"
"12-Mar-2020","     1358.05","     1383.85","     1296.95","     1304.15","       29656900","          622.68"
"13-Mar-2020","     1184.45","     1326.65","     1139.25","     1282.35","       43149497","          591.58"
"16-Mar-2020","     1214.45","     1263.90","     1167.15","     1226.05","       29961380","          747.30"
"17-Mar-2020","     1201.35","     1218.75","     1146.90","     1153.15","       54421965","         1080.22"
"18-Mar-2020","     1156.15","     1182.85","     1103.05","     1141.00","       54839737","          929.77"
"19-Mar-2020","     1072.70","     1122.15","     1058.60","     1086.90","       30435927","          618.22"
"20-Mar-2020","     1087.90","     1146.60","     1087.90","     1128.95","       37450899","          548.54"
"23-Mar-2020","     1038.45","     1088.00","     1001.35","     1015.40","       16780168","          373.58"
"24-Mar-2020","     1030.35","     1050.50","      979.05","     1031.70","       28502138","          469.34"
"25-Mar-2020","     1013.25","     1066.85","      989.85","     1055.45","       21556522","          361.54"
"26-Mar-2020","     1065.70","     1114.05","     1048.30","     1067.50","       24239092","          390.38"
"27-Mar-2020","     1086.20","     1120.05","     1049.55","     1055.40","       23005921","          328.72"
"30-Mar-2020","     1030.70","     1057.50","     1015.60","     1021.85","       17506841","          248.96"
"31-Mar-2020","     1040.95","     1047.20","     1023.20","     1039.95","       20512653","          239.15"
"01-Apr-2020","     1045.10","     1047.20","      995.15","     1001.25","       17696506","          303.67"
"03-Apr-2020","     1011.30","     1015.70","      972.95","      987.20","       20483538","          344.61"
"07-Apr-2020","     1024.25","     1050.05","     1000.05","     1045.50","       21378322","          441.41"
"08-Apr-2020","     1033.15","     1096.90","     1026.20","     1064.25","       24611378","          497.46"
"09-Apr-2020","     1086.85","     1114.65","     1077.70","     1105.45","       19408984","          464.07"
"13-Apr-2020","     1096.20","     1102.85","     1040.15","     1068.55","       45996546","          660.13"
"15-Apr-2020","     1082.55","     1094.25","     1057.25","     1078.60","       47550647","          721.70"
"16-Apr-2020","     1068.90","     1113.80","     1064.20","     1106.95","       42546007","          688.01"
"17-Apr-2020","     1136.45","     1154.15","     1122.15","     1144.40","       31991642","          577.00"
"20-Apr-2020","     1162.30","     1165.25","     1127.95","     1137.95","       40289121","          659.87"
"21-Apr-2020","     1107.55","     1113.70","     1067.65","     1079.20","       35036087","          520.38"
"22-Apr-2020","     1093.25","     1159.00","     1081.60","     1151.00","       77712259","          985.70"
"23-Apr-2020","     1179.15","     1202.25","     1156.85","     1163.80","      119480613","         1519.83"
"24-Apr-2020","     1153.90","     1156.80","     1117.90","     1121.70","       54324553","          700.79"
"27-Apr-2020","     1146.95","     1151.00","     1118.25","     1129.10","       30420108","          593.67"
"28-Apr-2020","     1137.80","     1145.20","     1128.55","     1134.90","       24944589","          422.29"
"29-Apr-2020","     1146.55","     1179.30","     1137.10","     1165.95","       42193340","          806.68"
"30-Apr-2020","     1185.15","     1190.00","     1155.10","     1159.75","       31930353","          535.42"
"04-May-2020","     1126.25","     1130.50","     1099.55","     1108.55","       25765811","          467.95"
"05-May-2020","     1125.55","     1134.50","     1095.45","     1097.25","       32329585","          669.21"
"06-May-2020","     1109.00","     1110.55","     1082.85","     1097.50","       24694517","          507.72"
"07-May-2020","     1092.20","     1112.50","     1088.20","     1097.90","       17873601","          493.36"
"08-May-2020","     1122.30","     1141.75","     1100.10","     1105.10","       54132254","          948.54"
"11-May-2020","     1123.10","     1143.60","     1121.75","     1134.95","       49434087","          752.14"
"12-May-2020","     1135.75","     1161.55","     1106.25","     1154.25","       49847206","          590.30"
"13-May-2020","     1193.20","     1193.60","     1147.60","     1171.10","       48929623","          857.75"
"14-May-2020","     1160.15","     1166.60","     1136.80","     1158.40","       43340661","          716.16"
"15-May-2020","     1155.25","     1156.95","     1133.80","     1137.35","       42069132","          902.14"
"18-May-2020","     1133.85","     1135.65","     1053.25","     1060.35","       49470394","          946.98"
"19-May-2020","     1071.85","     1091.45","     1058.65","     1081.55","       45365287","         1155.80"
"20-May-2020","     1079.70","     1112.65","     1073.65","     1107.65","       32666357","          925.49"
"21-May-2020","     1109.70","     1141.70","     1104.75","     1127.15","       34241501","          760.18"
"22-May-2020","     1128.85","     1154.65","     1124.00","     1140.15","       54178179","         1068.29"
"26-May-2020","     1147.30","     1152.50","     1123.95","     1137.65","       28720385","          517.34"
"27-May-2020","     1137.30","     1142.05","     1124.80","     1137.15","       29464132","          637.30"
"28-May-2020","     1141.65","     1191.95","     1140.90","     1178.35","       82476117","         1525.10"
"29-May-2020","     1164.60","     1197.05","     1161.10","     1177.85","       70953933","          982.46"
"01-Jun-2020","     1194.50","     1238.35","     1192.60","     1219.35","       60228908","         1198.19"
"02-Jun-2020","     1229.65","     1268.15","     1222.80","     1259.40","       57590764","         1188.54"
"03-Jun-2020","     1284.00","     1297.35","     1257.75","     1267.25","       45397658","         1081.49"
"04-Jun-2020","     1275.00","     1328.00","     1253.00","     1319.45","       65231487","         1556.24"
"05-Jun-2020","     1340.10","     1398.45","     1334.35","     1388.90","       73147235","         2201.87"
"08-Jun-2020","     1434.05","     1434.05","     1352.80","     1365.80","       65313365","         2044.00"
"09-Jun-2020","     1365.45","     1371.50","     1311.90","     1320.85","       58891143","         1652.74"
"10-Jun-2020","     1322.15","     1326.10","     1296.50","     1316.40","       47720793","         1328.78"
"11-Jun-2020","     1320.80","     1348.45","     1290.50","     1298.80","       66366134","         1879.47"
"12-Jun-2020","     1239.00","     1291.85","     1233.50","     1287.55","       84458389","         1304.61"
"15-Jun-2020","     1302.90","     1326.90","     1289.40","     1298.80","       77950651","         1295.70"
"16-Jun-2020","     1341.40","     1352.15","     1292.65","     1314.95","       73636415","          994.27"
"17-Jun-2020","     1324.00","     1349.70","     1315.00","     1337.45","       54803692","          894.30"
